Time;Channel A;Channel B
(s);(V);(V)

0,00000000;-0,99987790;-0,43584420
0,00666670;-0,99499450;-0,42485650
0,01333340;-1,01086600;-0,44072760
0,02000010;-0,99987790;-0,42485650
0,02666680;-0,99987790;-0,42485650
0,03333350;-0,99987790;-0,43584420
0,04000020;-0,99499450;-0,43584420
0,04666690;-0,98889020;-0,43584420
0,05333360;-0,99987790;-0,44561100
0,06000030;-0,99499450;-0,43584420
0,06666700;-0,99499450;-0,42485650
0,07333370;-0,98889020;-0,44072760
0,08000040;-0,99987790;-0,44072760
0,08666710;-0,99499450;-0,43584420
0,09333380;-0,98889020;-0,43584420
0,10000050;-0,99987790;-0,43584420
0,10666720;-0,99987790;-0,42485650
0,11333390;-0,99499450;-0,43584420
0,12000060;-1,00476100;-0,42485650
0,12666730;-0,97912340;-0,43584420
0,13333400;-0,99987790;-0,43584420
0,14000070;-1,01086600;-0,44561100
0,14666740;-0,98889020;-0,42974000
0,15333410;-0,99987790;-0,43584420
0,16000080;-0,99987790;-0,42974000
0,16666750;-0,99987790;-0,42974000
0,17333420;-0,99987790;-0,42974000
0,18000090;-0,99499450;-0,42974000
0,18666760;-0,99499450;-0,42485650
0,19333430;-1,00476100;-0,42974000
0,20000100;-1,01086600;-0,46148210
0,20666770;-0,98889020;-0,42485650
0,21333440;-0,99987790;-0,42485650
0,22000110;-0,99987790;-0,42974000
0,22666780;-0,98400680;-0,42974000
0,23333450;-1,01086600;-0,44072760
0,24000120;-0,99987790;-0,42974000
0,24666790;-0,98889020;-0,42974000
0,25333460;-1,00476100;-0,43584420
0,26000130;-0,99499450;-0,43584420
0,26666800;-0,98400680;-0,42974000
0,27333470;-0,99987790;-0,43584420
0,28000140;-0,99499450;-0,42974000
0,28666810;-0,98889020;-0,42974000
0,29333480;-1,00476100;-0,43584420
0,30000150;-0,98889020;-0,43584420
0,30666819;-0,98889020;-0,43584420
0,31333489;-0,99987790;-0,42974000
0,32000159;-0,98889020;-0,44072760
0,32666829;-0,99499450;-0,42974000
0,33333499;-0,99499450;-0,44072760
0,34000169;-1,00476100;-0,42485650
0,34666839;-0,99499450;-0,44072760
0,35333509;-1,00476100;-0,42974000
0,36000179;-0,98889020;-0,44072760
0,36666849;-0,98889020;-0,43584420
0,37333519;-0,99499450;-0,42974000
0,38000189;-0,99987790;-0,42974000
0,38666859;-0,99499450;-0,42974000
0,39333529;-1,00476100;-0,43584420
0,40000199;-0,98889020;-0,43584420
0,40666869;-0,99987790;-0,42974000
0,41333539;-1,00476100;-0,44072760
0,42000209;-0,99499450;-0,44561100
0,42666879;-0,98889020;-0,42974000
0,43333549;-0,98889020;-0,42485650
0,44000219;-0,98400680;-0,44072760
0,44666889;-1,00476100;-0,44072760
0,45333559;-0,99499450;-0,42974000
0,46000229;-1,00476100;-0,42974000
0,46666899;-0,99499450;-0,43584420
0,47333569;-1,00476100;-0,43584420
0,48000239;-0,99499450;-0,43584420
0,48666909;-0,99987790;-0,42485650
0,49333579;-1,00476100;-0,43584420
0,50000249;-0,99499450;-0,44072760
0,50666919;-0,98889020;-0,42974000
0,51333589;-0,99987790;-0,43584420
