Time;Channel A;Channel B
(s);(V);(V)

0,00000000;1,04627000;0,45049440
0,00666670;1,05115400;0,44439020
0,01333340;1,04627000;0,44439020
0,02000010;1,05115400;0,43950680
0,02666680;1,04627000;0,44439020
0,03333350;1,03528300;0,43462340
0,04000020;1,05725800;0,44439020
0,04666690;1,05115400;0,46026130
0,05333360;1,04627000;0,43950680
0,06000030;1,05115400;0,45049440
0,06666700;1,04627000;0,43950680
0,07333370;1,03528300;0,43950680
0,08000040;1,04627000;0,44439020
0,08666710;1,05115400;0,45049440
0,09333380;1,05115400;0,43950680
0,10000050;1,04627000;0,44439020
0,10666720;1,04138700;0,45537780
0,11333390;1,04627000;0,45537780
0,12000060;1,04627000;0,45537780
0,12666730;1,05115400;0,44439020
0,13333400;1,03528300;0,44439020
0,14000070;1,04138700;0,43950680
0,14666740;1,05725800;0,45537780
0,15333410;1,04627000;0,45049440
0,16000080;1,03528300;0,45049440
0,16666750;1,05115400;0,46026130
0,17333420;1,03528300;0,43950680
0,18000090;1,04138700;0,44439020
0,18666760;1,05725800;0,46026130
0,19333430;1,03528300;0,45049440
0,20000100;1,04627000;0,44439020
0,20666770;1,05725800;0,45537780
0,21333440;1,04138700;0,43950680
0,22000110;1,05115400;0,44439020
0,22666780;1,04627000;0,43462340
0,23333450;1,04138700;0,45049440
0,24000120;1,04627000;0,44439020
0,24666790;1,05115400;0,44439020
0,25333460;1,05115400;0,44439020
0,26000130;1,05115400;0,45049440
0,26666800;1,04138700;0,45537780
0,27333470;1,04138700;0,43950680
0,28000140;1,05115400;0,45537780
0,28666810;1,05115400;0,43950680
0,29333480;1,03528300;0,44439020
0,30000150;1,04627000;0,44439020
0,30666819;1,05115400;0,45049440
0,31333489;1,04627000;0,45049440
0,32000159;1,04138700;0,45537780
0,32666829;1,04138700;0,44439020
0,33333499;1,04627000;0,45049440
0,34000169;1,05115400;0,45049440
0,34666839;1,04627000;0,45049440
0,35333509;1,04138700;0,45049440
0,36000179;1,05115400;0,45049440
0,36666849;1,05115400;0,44439020
0,37333519;1,04138700;0,43950680
0,38000189;1,04627000;0,43462340
0,38666859;1,05115400;0,45049440
0,39333529;1,04138700;0,45049440
0,40000199;1,05115400;0,44439020
0,40666869;1,05115400;0,45049440
0,41333539;1,04138700;0,44439020
0,42000209;1,04138700;0,44439020
0,42666879;1,04627000;0,43950680
0,43333549;1,04138700;0,43950680
0,44000219;1,04627000;0,44439020
0,44666889;1,05115400;0,43950680
0,45333559;1,05115400;0,45537780
0,46000229;1,04138700;0,43950680
0,46666899;1,04627000;0,44439020
0,47333569;1,04627000;0,43950680
0,48000239;1,04138700;0,43950680
0,48666909;1,03039900;0,45049440
0,49333579;1,04138700;0,44439020
0,50000249;1,04138700;0,44439020
0,50666919;1,04627000;0,45537780
0,51333589;1,04138700;0,45049440
0,52000259;1,04138700;0,44439020
0,52666929;1,04627000;0,43950680
0,53333599;1,04138700;0,43950680
0,54000269;1,05115400;0,43462340
0,54666939;1,05115400;0,45049440
0,55333609;1,04138700;0,44439020
0,56000279;1,04138700;0,45049440
0,56666949;1,04138700;0,45049440
0,57333619;1,04627000;0,44439020
