Time;Channel A;Channel B
(s);(V);(V)

0,00000000;-1,20620200;-0,55060430
0,00666670;-1,19033100;-0,54083750
0,01333340;-1,21108500;-0,54572090
0,02000010;-1,19521400;-0,55670860
0,02666680;-1,20009800;-0,53473320
0,03333350;-1,21108500;-0,56159200
0,04000020;-1,19521400;-0,56159200
0,04666690;-1,18422700;-0,54572090
0,05333360;-1,20620200;-0,55060430
0,06000030;-1,19033100;-0,56647540
0,06666700;-1,19033100;-0,54083750
0,07333370;-1,20009800;-0,56159200
0,08000040;-1,20009800;-0,55060430
0,08666710;-1,19521400;-0,55060430
0,09333380;-1,20009800;-0,55060430
0,10000050;-1,20620200;-0,56159200
0,10666720;-1,19521400;-0,54083750
0,11333390;-1,20009800;-0,56159200
0,12000060;-1,20620200;-0,55060430
0,12666730;-1,18422700;-0,54083750
0,13333400;-1,20620200;-0,56647540
0,14000070;-1,20620200;-0,53473320
0,14666740;-1,19033100;-0,55060430
0,15333410;-1,21108500;-0,56159200
0,16000080;-1,19521400;-0,55060430
0,16666750;-1,19033100;-0,56159200
0,17333420;-1,21108500;-0,57135880
0,18000090;-1,19033100;-0,56159200
0,18666760;-1,18422700;-0,55670860
0,19333430;-1,21108500;-0,56647540
0,20000100;-1,20620200;-0,56159200
0,20666770;-1,20009800;-0,54083750
0,21333440;-1,21108500;-0,56159200
0,22000110;-1,19521400;-0,55060430
0,22666780;-1,18422700;-0,54572090
0,23333450;-1,20620200;-0,55670860
0,24000120;-1,20009800;-0,55060430
0,24666790;-1,19521400;-0,55060430
0,25333460;-1,20009800;-0,55670860
0,26000130;-1,20620200;-0,54083750
0,26666800;-1,19033100;-0,53473320
0,27333470;-1,21108500;-0,56159200
0,28000140;-1,20009800;-0,55670860
0,28666810;-1,17934300;-0,54572090
0,29333480;-1,20620200;-0,56159200
0,30000150;-1,20009800;-0,56159200
0,30666819;-1,19521400;-0,53473320
0,31333489;-1,20009800;-0,56159200
0,32000159;-1,20009800;-0,55670860
0,32666829;-1,19033100;-0,54083750
0,33333499;-1,20009800;-0,56159200
0,34000169;-1,19521400;-0,54572090
0,34666839;-1,18422700;-0,53473320
0,35333509;-1,20620200;-0,56159200
0,36000179;-1,19521400;-0,55670860
0,36666849;-1,18422700;-0,54572090
0,37333519;-1,20620200;-0,55670860
0,38000189;-1,20620200;-0,55670860
0,38666859;-1,18422700;-0,55060430
0,39333529;-1,20009800;-0,56159200
0,40000199;-1,20620200;-0,55670860
0,40666869;-1,17934300;-0,55670860
0,41333539;-1,20620200;-0,55670860
0,42000209;-1,20009800;-0,55670860
0,42666879;-1,18422700;-0,54572090
0,43333549;-1,20009800;-0,56647540
0,44000219;-1,19033100;-0,55060430
0,44666889;-1,17934300;-0,54083750
0,45333559;-1,20620200;-0,55670860
0,46000229;-1,19521400;-0,55060430
0,46666899;-1,19033100;-0,54083750
0,47333569;-1,21596900;-0,55060430
0,48000239;-1,20009800;-0,55060430
0,48666909;-1,17446000;-0,52984980
0,49333579;-1,20620200;-0,56159200
0,50000249;-1,20009800;-0,56159200
0,50666919;-1,19033100;-0,54572090
0,51333589;-1,19521400;-0,56159200
