Time;Channel A;Channel B
(s);(V);(V)

0,00000000;-0,36503480;-0,00610426
0,00666670;-0,35526800;0,00000000
0,01333340;-0,31742160;-0,01098767
0,02000010;-0,36503480;-0,01098767
0,02666680;-0,35526800;-0,01098767
0,03333350;-0,32352580;0,00000000
0,04000020;-0,36503480;0,00000000
0,04666690;-0,36503480;-0,01098767
0,05333360;-0,32352580;-0,01098767
0,06000030;-0,36015140;-0,01098767
0,06666700;-0,35526800;0,00000000
0,07333370;-0,32840920;0,00000000
0,08000040;-0,36015140;-0,01098767
0,08666710;-0,35526800;-0,00610426
0,09333380;-0,32840920;-0,01098767
0,10000050;-0,36015140;-0,00610426
0,10666720;-0,35526800;-0,01587108
0,11333390;-0,31253810;-0,00610426
0,12000060;-0,35526800;0,00488341
0,12666730;-0,33939690;-0,00610426
0,13333400;-0,30765470;0,00000000
0,14000070;-0,36015140;0,00000000
0,14666740;-0,34428030;-0,01098767
0,15333410;-0,31742160;-0,00610426
0,16000080;-0,35526800;-0,00610426
0,16666750;-0,34428030;0,00976682
0,17333420;-0,31742160;0,00000000
0,18000090;-0,34428030;0,00488341
0,18666760;-0,34916370;-0,00610426
0,19333430;-0,31742160;0,00488341
0,20000100;-0,34428030;-0,01098767
0,20666770;-0,33939690;-0,00610426
0,21333440;-0,31253810;-0,01098767
0,22000110;-0,34428030;-0,00610426
0,22666780;-0,34428030;0,00976682
0,23333450;-0,33329260;0,00000000
0,24000120;-0,34916370;0,00000000
0,24666790;-0,34428030;-0,01098767
0,25333460;-0,32840920;-0,01098767
0,26000130;-0,35526800;-0,01098767
0,26666800;-0,34428030;-0,00610426
0,27333470;-0,32352580;0,00000000
0,28000140;-0,35526800;0,00000000
0,28666810;-0,34916370;-0,00610426
0,29333480;-0,31742160;0,00000000
0,30000150;-0,36015140;-0,01098767
0,30666819;-0,34428030;-0,01098767
0,31333489;-0,32352580;0,00000000
0,32000159;-0,35526800;-0,01587108
0,32666829;-0,33939690;0,00000000
0,33333499;-0,32840920;-0,00610426
0,34000169;-0,34916370;0,00000000
0,34666839;-0,34916370;-0,01098767
0,35333509;-0,31742160;0,00488341
0,36000179;-0,36015140;-0,01098767
0,36666849;-0,34916370;0,00000000
0,37333519;-0,31742160;-0,00610426
0,38000189;-0,35526800;-0,00610426
0,38666859;-0,36503480;-0,00610426
0,39333529;-0,33329260;-0,00610426
0,40000199;-0,35526800;-0,01098767
0,40666869;-0,36015140;-0,00610426
0,41333539;-0,32352580;0,00000000
0,42000209;-0,36503480;-0,01098767
0,42666879;-0,35526800;0,00000000
0,43333549;-0,32352580;-0,00610426
0,44000219;-0,36503480;-0,01098767
0,44666889;-0,35526800;-0,01587108
0,45333559;-0,32840920;-0,01098767
0,46000229;-0,36503480;-0,00610426
0,46666899;-0,35526800;0,00000000
0,47333569;-0,32352580;-0,01587108
0,48000239;-0,36503480;-0,01098767
0,48666909;-0,36015140;0,00000000
0,49333579;-0,33329260;-0,00610426
0,50000249;-0,36503480;-0,00610426
0,50666919;-0,35526800;-0,01098767
0,51333589;-0,33329260;-0,00610426
0,52000259;-0,37113900;-0,01587108
