Time;Temperature
(s);(C)

0;-136.0
4;-135
8;-134
13;-133
17;-132
22;-131
28;-130
32;-129
37;-128
43;-127
49;-126
55;-125
60;-124
66;-123
73;-122
79;-121
85;-120
92;-119
98;-118
105;-117
111;-116
119;-115
125;-114
132;-113
139;-112
147;-111
155;-110
163;-109
169;-108
176;-107
183;-106
193;-105
201;-104
210;-103
218;-102
226;-101
236;-100
243;-99
253;-98
263;-97
272;-96
283;-95
293;-94
303;-93
315;-92
326;-91
336;-90
349;-89
360;-88
373;-87
384;-86
396;-85
409;-84
423;-83
435;-82
449;-81
462;-80
477;-79
490;-78
505;-77
520;-76
535;-75
550;-74
565;-73
581;-72
597;-71
614;-70
630;-69
648;-68
666;-67
683;-66
702;-65
722;-64
740;-63
759;-62
778;-61
797;-60
817;-59
838;-58
861;-57
