Time;Channel A;Channel B
(s);(V);(V)

0,00000000;-0,03174216;-0,00610426
0,00666670;-0,02197534;0,00000000
0,01333340;-0,02685875;0,00000000
0,02000010;-0,03784642;0,00000000
0,02666680;-0,03784642;0,00488341
0,03333350;-0,03784642;-0,01098767
0,04000020;-0,03174216;-0,01098767
0,04666690;-0,03174216;0,00488341
0,05333360;-0,03174216;0,00000000
0,06000030;-0,03174216;-0,01587108
0,06666700;-0,02197534;0,00000000
0,07333370;-0,02685875;0,00488341
0,08000040;-0,02685875;-0,00610426
0,08666710;-0,02685875;-0,01098767
0,09333380;-0,02685875;0,00000000
0,10000050;-0,03174216;-0,00610426
0,10666720;-0,02197534;0,00000000
0,11333390;-0,04761323;0,00976682
0,12000060;-0,02685875;-0,00610426
0,12666730;-0,03174216;0,00488341
0,13333400;-0,02685875;0,00000000
0,14000070;-0,02685875;-0,01587108
0,14666740;-0,01587108;-0,01098767
0,15333410;-0,02685875;0,00488341
0,16000080;-0,03784642;-0,01098767
0,16666750;-0,02197534;0,00000000
0,17333420;-0,02197534;0,00488341
0,18000090;-0,02685875;0,00000000
0,18666760;-0,02685875;0,00000000
0,19333430;-0,03174216;-0,00610426
0,20000100;-0,03784642;0,00000000
0,20666770;-0,02685875;-0,00610426
0,21333440;-0,01587108;0,00000000
0,22000110;-0,02685875;-0,02197534
0,22666780;-0,03784642;0,00000000
0,23333450;-0,03174216;0,00488341
0,24000120;-0,02685875;0,00000000
0,24666790;-0,03174216;0,00000000
0,25333460;-0,02685875;-0,00610426
0,26000130;-0,03784642;-0,00610426
0,26666800;-0,03174216;0,00000000
0,27333470;-0,02197534;-0,00610426
0,28000140;-0,04272982;-0,01098767
0,28666810;-0,03174216;0,00488341
0,29333480;-0,02685875;-0,01098767
0,30000150;-0,04272982;-0,00610426
0,30666819;-0,03174216;0,00000000
0,31333489;-0,03784642;-0,01587108
0,32000159;-0,03784642;-0,00610426
0,32666829;-0,03174216;0,00000000
0,33333499;-0,03784642;-0,01098767
0,34000169;-0,03784642;0,00488341
0,34666839;-0,02685875;-0,00610426
0,35333509;-0,03174216;0,00000000
0,36000179;-0,03174216;-0,00610426
0,36666849;-0,02685875;0,00000000
0,37333519;-0,03174216;0,00000000
0,38000189;-0,02685875;-0,01098767
0,38666859;-0,01587108;0,00488341
0,39333529;-0,02685875;-0,01098767
0,40000199;-0,03174216;-0,01098767
0,40666869;-0,02197534;-0,00610426
0,41333539;-0,04272982;0,00000000
0,42000209;-0,03174216;0,00000000
0,42666879;-0,03174216;0,00000000
0,43333549;-0,03174216;0,00000000
0,44000219;-0,03174216;0,00000000
0,44666889;-0,02685875;0,00000000
0,45333559;-0,03784642;-0,00610426
0,46000229;-0,03784642;-0,00610426
0,46666899;-0,02197534;0,00488341
0,47333569;-0,03784642;-0,00610426
0,48000239;-0,03174216;0,00976682
0,48666909;-0,03174216;0,00488341
0,49333579;-0,02685875;0,01465023
0,50000249;-0,02197534;0,00488341
0,50666919;-0,02685875;0,00488341
0,51333589;-0,04272982;-0,00610426
0,52000259;-0,03174216;-0,00610426
0,52666929;-0,02685875;0,00488341
