Time;Channel A;Channel B
(s);(V);(V)

0,00000000;-3,91771500;-1,82395300
0,00666670;-3,91283100;-1,82395300
0,01333340;-3,93358600;-1,83982400
0,02000010;-3,90672700;-1,82395300
0,02666680;-3,90184400;-1,81418600
0,03333350;-3,92870200;-1,83494100
0,04000020;-3,92259800;-1,83005700
0,04666690;-3,91283100;-1,83005700
0,05333360;-3,91771500;-1,81907000
0,06000030;-3,90672700;-1,83005700
0,06666700;-3,91283100;-1,81907000
0,07333370;-3,92259800;-1,83982400
0,08000040;-3,91771500;-1,83005700
0,08666710;-3,90672700;-1,83005700
0,09333380;-3,92259800;-1,84470800
0,10000050;-3,92259800;-1,83005700
0,10666720;-3,91283100;-1,82395300
0,11333390;-3,90672700;-1,83982400
0,12000060;-3,91771500;-1,83494100
0,12666730;-3,90672700;-1,83005700
0,13333400;-3,92870200;-1,85081200
0,14000070;-3,92259800;-1,83494100
0,14666740;-3,90184400;-1,80808200
0,15333410;-3,92870200;-1,83494100
0,16000080;-3,91283100;-1,82395300
0,16666750;-3,90672700;-1,82395300
0,17333420;-3,92870200;-1,83494100
0,18000090;-3,93846900;-1,85081200
0,18666760;-3,91283100;-1,81907000
0,19333430;-3,92259800;-1,84470800
0,20000100;-3,91771500;-1,83005700
0,20666770;-3,91771500;-1,83005700
0,21333440;-3,92870200;-1,84470800
0,22000110;-3,92259800;-1,82395300
0,22666780;-3,90672700;-1,81907000
0,23333450;-3,92870200;-1,83494100
0,24000120;-3,92259800;-1,83005700
0,24666790;-3,91283100;-1,82395300
0,25333460;-3,92259800;-1,83982400
0,26000130;-3,92259800;-1,83005700
0,26666800;-3,91771500;-1,81907000
0,27333470;-3,93358600;-1,83982400
0,28000140;-3,91771500;-1,83005700
0,28666810;-3,90184400;-1,81418600
0,29333480;-3,92259800;-1,83494100
0,30000150;-3,92870200;-1,83005700
0,30666819;-3,91283100;-1,81907000
0,31333489;-3,92259800;-1,83982400
0,32000159;-3,92870200;-1,82395300
0,32666829;-3,90672700;-1,83005700
0,33333499;-3,92870200;-1,83005700
0,34000169;-3,92259800;-1,83005700
0,34666839;-3,91283100;-1,82395300
0,35333509;-3,92870200;-1,83494100
0,36000179;-3,92259800;-1,84470800
0,36666849;-3,91283100;-1,82395300
0,37333519;-3,92870200;-1,83494100
0,38000189;-3,92259800;-1,83005700
0,38666859;-3,90184400;-1,80808200
0,39333529;-3,92870200;-1,83005700
0,40000199;-3,91771500;-1,83005700
0,40666869;-3,90672700;-1,81907000
0,41333539;-3,91771500;-1,83005700
0,42000209;-3,92870200;-1,83982400
0,42666879;-3,91283100;-1,83005700
0,43333549;-3,90672700;-1,83494100
0,44000219;-3,91283100;-1,83494100
0,44666889;-3,90672700;-1,81418600
0,45333559;-3,92870200;-1,84470800
0,46000229;-3,91283100;-1,83005700
0,46666899;-3,91283100;-1,82395300
0,47333569;-3,92870200;-1,83005700
0,48000239;-3,91771500;-1,83005700
0,48666909;-3,90672700;-1,81907000
0,49333579;-3,92259800;-1,83494100
0,50000249;-3,92259800;-1,83494100
0,50666919;-3,89696000;-1,83005700
0,51333589;-3,91771500;-1,83494100
