Time;Channel A;Channel B
(s);(V);(V)

0,00000000;-2,00463900;-0,92296420
0,00666670;-2,00952300;-0,93395190
0,01333340;-2,00952300;-0,93395190
0,02000010;-1,99853500;-0,93883530
0,02666680;-2,02051000;-0,92296420
0,03333350;-2,00952300;-0,92784760
0,04000020;-2,00463900;-0,93883530
0,04666690;-2,01440600;-0,93395190
0,05333360;-2,00463900;-0,92784760
0,06000030;-1,99853500;-0,92296420
0,06666700;-2,01440600;-0,94860210
0,07333370;-1,99853500;-0,93883530
0,08000040;-1,99853500;-0,91808080
0,08666710;-2,00463900;-0,93883530
0,09333380;-1,99853500;-0,92296420
0,10000050;-1,98876800;-0,92784760
0,10666720;-2,00463900;-0,92784760
0,11333390;-2,00463900;-0,94371870
0,12000060;-1,99365200;-0,91808080
0,12666730;-2,00463900;-0,92296420
0,13333400;-1,99853500;-0,93395190
0,14000070;-2,00463900;-0,92296420
0,14666740;-2,00463900;-0,94371870
0,15333410;-1,99853500;-0,93883530
0,16000080;-1,99853500;-0,93395190
0,16666750;-2,01440600;-0,93395190
0,17333420;-2,01440600;-0,92784760
0,18000090;-1,98876800;-0,93395190
0,18666760;-2,00463900;-0,93395190
0,19333430;-2,02051000;-0,93395190
0,20000100;-1,98876800;-0,92784760
0,20666770;-2,02051000;-0,93395190
0,21333440;-1,99853500;-0,93395190
0,22000110;-1,99853500;-0,92784760
0,22666780;-1,99365200;-0,93395190
0,23333450;-2,00463900;-0,93883530
0,24000120;-2,00463900;-0,92784760
0,24666790;-2,01440600;-0,94371870
0,25333460;-1,99853500;-0,93395190
0,26000130;-1,99365200;-0,92296420
0,26666800;-2,00463900;-0,93395190
0,27333470;-1,99365200;-0,93395190
0,28000140;-1,99853500;-0,92296420
0,28666810;-2,01440600;-0,93395190
0,29333480;-1,99853500;-0,92296420
0,30000150;-1,98876800;-0,93883530
0,30666819;-2,01440600;-0,93395190
0,31333489;-2,00463900;-0,92784760
0,32000159;-1,99853500;-0,92296420
0,32666829;-2,01440600;-0,92296420
0,33333499;-2,00463900;-0,93395190
0,34000169;-2,00952300;-0,92296420
0,34666839;-2,00952300;-0,93883530
0,35333509;-2,01440600;-0,93395190
0,36000179;-2,00952300;-0,92296420
0,36666849;-2,00952300;-0,94860210
0,37333519;-2,00952300;-0,93395190
0,38000189;-2,00463900;-0,93395190
0,38666859;-2,00952300;-0,94860210
0,39333529;-2,00463900;-0,94371870
0,40000199;-1,99853500;-0,92296420
0,40666869;-2,00952300;-0,93883530
0,41333539;-2,01440600;-0,94371870
0,42000209;-2,00463900;-0,93395190
0,42666879;-2,02051000;-0,93395190
0,43333549;-2,00952300;-0,92784760
0,44000219;-1,99853500;-0,92784760
0,44666889;-2,02051000;-0,93395190
0,45333559;-2,01440600;-0,92296420
0,46000229;-1,98876800;-0,93395190
0,46666899;-2,01440600;-0,93883530
0,47333569;-2,01440600;-0,91808080
0,48000239;-1,99365200;-0,92296420
0,48666909;-2,00463900;-0,93883530
0,49333579;-2,00463900;-0,93395190
0,50000249;-2,00463900;-0,92784760
0,50666919;-2,02051000;-0,93395190
0,51333589;-2,01440600;-0,93883530
