Time;Temperature
(s);(C)

0;95
17;94
22;93
27;92
33;91
40;90
47;89
56;88
64;87
74;86
85;85
97;84
109;83
123;82
138;81
152;80
169;79
183;78
200;77
216;76
232;75
250;74
269;73
287;72
305;71
322;70
340;69
357;68
374;67
394;66
413;65
432;64
450;63
470;62
492;61
512;60
537;59
569;58
582;57
610;56
638;55
668;54
695;53
724;52
755;51
788;50
822;49
857;48
894;47
930;46
954;45
974;44
993;43
1015;42
1037;41
1059;40
1084;39
1111;38
1138;37
1165;36
1197;35
1233;34
1272;33
1317;32
1367;31
1507;29
1517;30
1520;28.9
1521;28
1523;27.2
1524;26.7
1526;25.8
1528;24.8
1530;23.7
1532;22.6
1533;22
1535;20.8
1537;20.2
1539;26.1
1541;33.9
1543;39.1
1545;16.1
1548;16
1551;16.7
1553;12.2
1555;11.2
1558;10
1560;9.2
1563;8.2
1567;7
1570;6.1
1575;5.2
1580;5
1585;4.1
1588;3.1
1597;2.5
1612;2
1620;1.5
1687;1
1693;1.1
