Time;Temperature
(s);(C)

0;21.1
15;20
21;18.9
23;4.6
24;-27.6
25;-44.7
26;-59
27;-76
28;-87
29;-96
30;-101
33;-114
34;-120
37;-128
39;-130
42;-135
44;-136
47;-137
52;-138
55;-134
56;-139
57;-137
58;-138
73;-137
78;-136
85;-135
90;-129
91;-132
95;-131
106;-130
111;-129
116;-128
122;-127
127;-126
133;-125
140;-124
144;-123
151;-122
157;-121
163;-120
169;-119
175;-118
183;-117
189;-116
195;-115
202;-114
209;-113
216;-112
222;-111
230;-110
237;-109
243;-108
252;-107
260;-106
267;-105
275;-104
283;-103
292;-102
301;-101
309;-100
318;-99
326;-98
335;-97
345;-96
355;-95
364;-94
374;-93
384;-92
394;-91
404;-90
414;-89
426;-88
437;-87
447;-86
457;-85
467;-84
480;-83
491;-82
502;-81
516;-80
527;-79
541;-78
554;-77
568;-76
582;-75
596;-74
611;-73
625;-72
642;-71
659;-70
673;-69
689;-68
706;-67
723;-66
740;-65
759;-64
776;-63
795;-62
814;-61
834;-60
853;-59
877;-58
895;-57
917;-56
937;-55
