Time,V_T
0.001,0.4531998
0.002,-0.4516739
0.003,1.811274
0.004,0.4531998
0.005,1.358074
0.006,0.9048738
0.007,1.811274
0.008,-1.358074
0.009,-0.9048738
0.01,3.170873
0.011,-1.358074
0.012,-0.4516739
0.013,0.4531998
0.014,1.358074
0.015,0.00152593
0.016,2.264473
0.017,0.9048738
0.018,-0.4516739
0.019,-0.4516739
0.02,1.811274
0.021,0.00152593
0.022,-1.811274
0.023,-0.4516739
0.024,0.9048738
0.025,-0.4516739
0.026,0.00152593
0.027,0.4531998
0.028,1.811274
0.029,0.4531998
0.03,-1.358074
0.031,0.00152593
0.032,0.4531998
0.033,-0.9048738
0.034,1.811274
0.035,1.358074
0.036,0.4531998
0.037,0.4531998
0.038,1.811274
0.039,-0.9048738
0.04,0.4531998
0.041,0.9048738
0.042,-0.9048738
0.043,0.00152593
0.044,0.9048738
0.045,0.4531998
0.046,-1.358074
0.047,1.358074
0.048,-1.358074
0.049,0.00152593
0.05,-1.811274
0.051,0.9048738
0.052,1.358074
0.053,-0.4516739
0.054,-1.358074
0.055,0.00152593
0.056,-0.4516739
0.057,-0.9048738
0.058,0.4531998
0.059,0.9048738
0.06,-2.717673
0.061,1.358074
0.062,-0.4516739
0.063,0.4531998
0.064,0.00152593
0.065,0.4531998
0.066,0.00152593
0.067,-0.4516739
0.068,1.811274
0.069,-0.4516739
0.07,-0.9048738
0.071,-0.9048738
0.072,0.4531998
0.073,0.9048738
0.074,0.4531998
0.075,-0.9048738
0.076,0.00152593
0.077,0.00152593
0.078,-2.717673
0.079,0.9048738
0.08,0.4531998
0.081,1.358074
0.082,-0.4516739
0.083,0.9048738
0.084,0.9048738
0.085,0.00152593
0.086,-1.811274
0.087,0.00152593
0.088,1.811274
0.089,-2.717673
0.09,-0.4516739
0.091,0.9048738
0.092,0.4531998
0.093,0.00152593
0.094,-0.9048738
0.095,-0.9048738
0.096,1.358074
0.097,-0.4516739
0.098,-0.9048738
0.099,0.00152593
0.1,1.811274
0.101,0.4531998
0.102,-0.4516739
0.103,0.4531998
0.104,1.358074
0.105,-1.358074
0.10600001,-0.9048738
0.10700001,0.00152593
0.10800001,1.811274
0.10900001,-1.358074
0.11000001,1.811274
0.11100001,-0.4516739
0.11200001,1.811274
0.11300001,1.811274
0.11400001,-3.624073
0.11500001,2.264473
0.11600001,-0.9048738
0.11700001,1.811274
0.11800001,0.9048738
0.11900001,0.4531998
0.12000001,-0.4516739
0.12100001,0.4531998
0.12200001,0.9048738
0.12300001,0.9048738
0.12400001,-0.4516739
0.12500001,-1.811274
0.12600001,-0.4516739
0.12700001,0.9048738
0.12800001,-2.717673
0.12900001,-0.4516739
0.13000001,0.9048738
0.13100001,1.358074
