Time,V_T
0.001,76.93411
0.002,76.93411
0.003,76.93411
0.004,76.03076
0.005,76.93411
0.006,77.84051
0.007,77.84051
0.008,77.84051
0.009,76.93411
0.01,76.93411
0.011,76.93411
0.012,76.93411
0.013,76.93411
0.014,77.84051
0.015,77.84051
0.016,76.93411
0.017,78.74691
0.018,76.93411
0.019,78.74691
0.02,76.93411
0.021,76.93411
0.022,77.84051
0.023,76.93411
0.024,77.84051
0.025,76.93411
0.026,76.93411
0.027,77.84051
0.028,76.93411
0.029,78.74691
0.03,77.84051
0.031,76.93411
0.032,76.93411
0.033,76.93411
0.034,77.84051
0.035,76.93411
0.036,76.93411
0.037,77.84051
0.038,76.93411
0.039,76.93411
0.04,76.93411
0.041,76.93411
0.042,76.93411
0.043,76.93411
0.044,77.84051
0.045,76.03076
0.046,77.84051
0.047,78.74691
0.048,76.93411
0.049,76.93411
0.05,77.84051
0.051,76.93411
0.052,76.03076
0.053,77.84051
0.054,76.93411
0.055,77.84051
0.056,76.93411
0.057,77.84051
0.058,78.74691
0.059,77.84051
0.06,76.93411
0.061,77.84051
0.062,76.03076
0.063,76.93411
0.064,77.84051
0.065,76.93411
0.066,76.93411
0.067,76.93411
0.068,77.84051
0.069,77.84051
0.07,77.84051
0.071,75.12437
0.072,76.93411
0.073,76.93411
0.074,76.93411
0.075,76.93411
0.076,75.12437
0.077,77.84051
0.078,76.93411
0.079,77.84051
0.08,76.93411
0.081,76.93411
0.082,77.84051
0.083,76.93411
0.084,77.84051
0.085,77.84051
0.086,77.84051
0.087,77.84051
0.088,76.93411
0.089,76.93411
0.09,77.84051
0.091,76.93411
0.092,77.84051
0.093,78.74691
0.094,77.84051
0.095,76.93411
0.096,77.84051
0.097,76.93411
0.098,76.93411
0.099,76.03076
0.1,77.84051
0.101,77.84051
0.102,77.84051
0.103,77.84051
0.104,76.93411
0.105,76.03076
0.10600001,77.84051
0.10700001,76.93411
0.10800001,77.84051
0.10900001,76.93411
0.11000001,76.03076
0.11100001,77.84051
0.11200001,77.84051
0.11300001,77.84051
0.11400001,76.03076
0.11500001,76.93411
0.11600001,77.84051
0.11700001,77.84051
0.11800001,76.03076
0.11900001,77.84051
0.12000001,76.93411
0.12100001,76.93411
0.12200001,76.93411
0.12300001,76.93411
0.12400001,77.84051
0.12500001,77.84051
0.12600001,77.84051
0.12700001,77.84051
0.12800001,77.84051
0.12900001,76.93411
0.13000001,77.84051
0.13100001,76.93411
0.13200001,77.84051
0.13300001,76.93411
0.13400001,76.93411
0.13500001,76.93411
0.13600001,77.84051
0.13700001,77.84051
0.13800001,77.84051
0.13900001,77.84051
0.14000001,77.84051
0.14100001,77.84051
0.14200001,76.93411
0.14300001,76.03076
0.14400001,77.84051
0.14500001,77.84051
0.14600001,76.93411
0.14700001,76.03076
0.14800001,77.84051
0.14900001,76.93411
0.15000001,77.84051
0.15100001,76.93411
0.15200001,76.93411
0.15300001,77.84051
0.15400001,77.84051
0.15500001,77.84051
0.15600001,76.93411
0.15700001,77.84051
0.15800001,77.84051
0.15900001,76.03076
0.16000001,76.93411
0.16100001,77.84051
0.16200001,77.84051
0.16300001,77.84051
0.16400001,76.93411
0.16500001,76.93411
0.16600001,76.93411
0.16700001,77.84051
0.16800001,76.93411
0.16900001,77.84051
0.17000001,77.84051
0.17100001,77.84051
0.17200001,76.93411
0.17300001,76.93411
0.17400001,76.93411
0.17500001,77.84051
0.17600001,77.84051
0.17700001,78.74691
0.17800001,76.93411
0.17900001,76.93411
0.18000001,77.84051
0.18100001,77.84051
0.18200001,77.84051
0.18300001,76.93411
0.18400001,76.93411
0.18500001,76.93411
0.18600001,76.93411
0.18700001,77.84051
0.18800001,77.84051
0.18900001,76.93411
0.19000001,76.93411
0.19100001,76.93411
0.19200001,78.74691
0.19300001,77.84051
0.19400001,76.93411
0.19500001,77.84051
0.19600001,78.74691
0.19700001,77.84051
0.19800001,76.93411
0.19900001,76.93411
0.20000001,77.84051
0.20100001,77.84051
0.20200001,76.93411
0.20300001,76.93411
0.20400001,76.03076
0.20500001,76.93411
0.20600001,77.84051
0.20700001,77.84051
0.20800001,77.84051
0.20900001,77.84051
0.21000001,76.93411
0.21100001,76.93411
0.21200001,77.84051
0.21300001,76.03076
0.21400001,75.12437
0.21500001,76.93411
0.21600001,76.93411
0.21700001,77.84051
0.21800001,77.84051
0.21900001,77.84051
0.22000001,77.84051
0.22100001,77.84051
0.22200001,77.84051
0.22300001,76.93411
0.22400001,77.84051
0.22500001,76.93411
0.22600001,76.93411
0.22700001,76.93411
0.22800001,76.93411
0.22900001,76.03076
0.23000001,76.03076
0.23100001,76.93411
0.23200001,77.84051
0.23300001,76.93411
0.23400001,76.93411
0.23500001,77.84051
0.23600001,77.84051
0.23700001,77.84051
0.23800001,78.74691
0.23900001,76.93411
0.24000001,76.93411
0.24100001,76.03076
0.24200001,76.93411
0.24300001,77.84051
0.24400001,77.84051
0.24500001,76.93411
0.24600001,77.84051
0.24700001,77.84051
0.24800001,77.84051
0.24900001,76.93411
0.25000001,77.84051
0.25100001,77.84051
0.25200001,77.84051
0.25300001,76.93411
0.25400001,76.93411
0.25500001,77.84051
0.25600001,77.84051
0.25700001,77.84051
0.25800001,76.93411
0.25900001,77.84051
0.26000001,76.03076
0.26100001,77.84051
0.26200001,77.84051
0.26300001,77.84051
0.26400001,77.84051
0.26500001,77.84051
0.26600001,76.93411
0.26700001,77.84051
0.26800001,76.93411
0.26900001,77.84051
0.27000001,77.84051
0.27100001,78.74691
0.27200001,77.84051
0.27300001,76.93411
0.27400001,76.93411
0.27500001,76.93411
0.27600001,77.84051
0.27700001,76.93411
0.27800001,76.93411
0.27900001,77.84051
0.28000001,77.84051
0.28100001,76.93411
0.28200001,76.93411
0.28300001,77.84051
0.28400001,76.93411
0.28500001,76.93411
0.28600001,76.93411
0.28700001,77.84051
0.28800001,77.84051
0.28900001,76.93411
0.29000001,76.93411
0.29100001,76.93411
0.29200001,77.84051
0.29300001,76.93411
0.29400001,75.12437
0.29500001,76.93411
0.29600001,76.93411
0.29700001,78.74691
0.29800001,76.93411
0.29900001,77.84051
0.30000001,76.03076
0.30100001,78.74691
0.30200001,77.84051
0.30300001,77.84051
0.30400001,77.84051
0.30500001,77.84051
0.30600001,76.93411
0.30700001,76.93411
0.30800001,76.93411
0.30900001,77.84051
0.31000001,77.84051
0.31100001,76.93411
0.31200001,76.93411
0.31300001,77.84051
0.31400001,76.93411
0.31500001,77.84051
0.31600002,76.03076
0.31700002,77.84051
0.31800002,77.84051
0.31900002,77.84051
0.32000002,76.93411
0.32100002,76.03076
0.32200002,76.93411
0.32300002,77.84051
0.32400002,77.84051
0.32500002,77.84051
0.32600002,76.93411
0.32700002,76.93411
0.32800002,77.84051
0.32900002,77.84051
0.33000002,77.84051
0.33100002,76.93411
0.33200002,76.93411
0.33300002,77.84051
0.33400002,77.84051
0.33500002,77.84051
0.33600002,77.84051
0.33700002,76.93411
0.33800002,77.84051
0.33900002,77.84051
0.34000002,77.84051
0.34100002,77.84051
0.34200002,76.03076
0.34300002,76.03076
0.34400002,77.84051
0.34500002,77.84051
0.34600002,76.93411
0.34700002,76.03076
0.34800002,77.84051
0.34900002,79.65025
0.35000002,77.84051
0.35100002,76.93411
0.35200002,76.93411
0.35300002,76.03076
0.35400002,77.84051
0.35500002,77.84051
0.35600002,76.93411
0.35700002,78.74691
0.35800002,76.93411
0.35900002,77.84051
0.36000002,77.84051
0.36100002,76.93411
0.36200002,76.93411
0.36300002,76.93411
0.36400002,77.84051
0.36500002,77.84051
0.36600002,77.84051
0.36700002,77.84051
0.36800002,76.93411
0.36900002,77.84051
0.37000002,76.93411
0.37100002,77.84051
0.37200002,76.93411
0.37300002,76.93411
0.37400002,77.84051
0.37500002,77.84051
0.37600002,76.93411
0.37700002,77.84051
0.37800002,77.84051
0.37900002,76.93411
0.38000002,77.84051
0.38100002,77.84051
0.38200002,77.84051
0.38300002,77.84051
0.38400002,77.84051
0.38500002,77.84051
0.38600002,77.84051
0.38700002,77.84051
0.38800002,76.93411
0.38900002,77.84051
0.39000002,76.93411
0.39100002,76.93411
0.39200002,76.93411
0.39300002,77.84051
0.39400002,76.93411
0.39500002,77.84051
0.39600002,76.93411
0.39700002,77.84051
0.39800002,76.93411
0.39900002,77.84051
0.40000002,76.93411
0.40100002,76.93411
0.40200002,76.93411
0.40300002,76.93411
0.40400002,76.93411
0.40500002,77.84051
0.40600002,77.84051
0.40700002,77.84051
0.40800002,77.84051
0.40900002,77.84051
0.41000002,77.84051
0.41100002,78.74691
0.41200002,77.84051
0.41300002,76.03076
0.41400002,76.93411
0.41500002,77.84051
0.41600002,76.93411
0.41700002,76.93411
0.41800002,77.84051
0.41900002,78.74691
0.42000002,78.74691
0.42100002,77.84051
0.42200002,77.84051
0.42300002,76.93411
0.42400002,78.74691
0.42500002,76.93411
0.42600002,76.93411
0.42700002,77.84051
0.42800002,77.84051
0.42900002,77.84051
0.43000002,76.93411
0.43100002,76.03076
0.43200002,76.93411
0.43300002,76.93411
0.43400002,77.84051
0.43500002,76.93411
0.43600002,77.84051
0.43700002,77.84051
0.43800002,77.84051
0.43900002,76.93411
0.44000002,76.93411
0.44100002,78.74691
0.44200002,76.93411
0.44300002,77.84051
0.44400002,76.93411
0.44500002,76.93411
0.44600002,76.93411
0.44700002,77.84051
0.44800002,76.93411
0.44900002,76.93411
0.45000002,77.84051
0.45100002,76.93411
0.45200002,76.93411
0.45300002,76.93411
0.45400002,77.84051
0.45500002,76.93411
0.45600002,76.93411
0.45700002,77.84051
0.45800002,76.93411
0.45900002,76.93411
0.46000002,76.93411
0.46100002,77.84051
0.46200002,77.84051
0.46300002,76.93411
0.46400002,76.03076
0.46500002,77.84051
0.46600002,77.84051
0.46700002,78.74691
0.46800002,76.93411
0.46900002,77.84051
0.47000002,76.93411
0.47100002,76.93411
0.47200002,76.93411
0.47300002,76.93411
0.47400002,77.84051
0.47500002,77.84051
0.47600002,77.84051
0.47700002,76.93411
0.47800002,77.84051
0.47900002,77.84051
0.48000002,77.84051
0.48100002,77.84051
0.48200002,76.93411
0.48300002,76.93411
0.48400002,77.84051
0.48500002,78.74691
0.48600002,76.93411
0.48700002,76.93411
0.48800002,76.93411
0.48900002,77.84051
0.49000002,76.93411
0.49100002,76.93411
0.49200002,77.84051
0.49300002,77.84051
0.49400002,76.93411
0.49500002,76.03076
0.49600002,76.93411
0.49700002,77.84051
0.49800002,76.93411
0.49900002,76.93411
0.50000002,76.93411
0.50100002,76.93411
0.50200002,76.93411
0.50300002,76.93411
0.50400002,77.84051
0.50500002,76.93411
0.50600002,76.93411
0.50700002,76.93411
0.50800002,76.93411
0.50900002,77.84051
0.51000002,77.84051
0.51100002,76.93411
0.51200002,76.03076
0.51300002,77.84051
0.51400002,76.93411
0.51500002,76.03076
0.51600002,77.84051
0.51700002,77.84051
0.51800002,76.93411
0.51900002,77.84051
0.52000002,76.93411
0.52100002,77.84051
0.52200002,77.84051
0.52300002,76.93411
0.52400002,76.93411
0.52500002,77.84051
0.52600002,77.84051
0.52700003,77.84051
0.52800003,77.84051
0.52900003,76.03076
0.53000003,76.93411
0.53100003,77.84051
0.53200003,78.74691
0.53300003,76.93411
0.53400003,76.93411
0.53500003,77.84051
0.53600003,76.93411
0.53700003,76.93411
0.53800003,77.84051
0.53900003,77.84051
0.54000003,77.84051
0.54100003,76.93411
0.54200003,76.93411
0.54300003,76.93411
0.54400003,77.84051
0.54500003,76.93411
0.54600003,77.84051
0.54700003,76.93411
0.54800003,77.84051
0.54900003,77.84051
0.55000003,76.93411
0.55100003,77.84051
0.55200003,76.93411
0.55300003,77.84051
0.55400003,78.74691
0.55500003,76.93411
0.55600003,76.03076
0.55700003,76.93411
0.55800003,76.93411
0.55900003,76.93411
0.56000003,77.84051
0.56100003,77.84051
0.56200003,76.03076
0.56300003,77.84051
0.56400003,77.84051
0.56500003,77.84051
0.56600003,76.93411
0.56700003,76.93411
0.56800003,77.84051
0.56900003,77.84051
0.57000003,76.93411
0.57100003,77.84051
0.57200003,76.03076
0.57300003,76.93411
0.57400003,77.84051
0.57500003,77.84051
0.57600003,76.93411
0.57700003,76.03076
0.57800003,77.84051
0.57900003,77.84051
0.58000003,76.93411
0.58100003,76.93411
0.58200003,76.93411
0.58300003,77.84051
0.58400003,77.84051
0.58500003,76.03076
0.58600003,76.93411
0.58700003,77.84051
0.58800003,76.93411
0.58900003,76.93411
0.59000003,76.93411
0.59100003,77.84051
0.59200003,77.84051
0.59300003,77.84051
0.59400003,76.93411
0.59500003,77.84051
0.59600003,76.93411
0.59700003,77.84051
0.59800003,76.93411
0.59900003,77.84051
0.60000003,77.84051
0.60100003,76.93411
0.60200003,76.93411
0.60300003,77.84051
0.60400003,76.93411
0.60500003,76.93411
0.60600003,76.03076
0.60700003,76.93411
0.60800003,76.03076
0.60900003,77.84051
0.61000003,77.84051
0.61100003,76.03076
0.61200003,76.03076
0.61300003,77.84051
0.61400003,77.84051
0.61500003,76.03076
0.61600003,77.84051
0.61700003,76.03076
0.61800003,77.84051
0.61900003,76.93411
0.62000003,78.74691
0.62100003,77.84051
0.62200003,76.93411
0.62300003,76.93411
0.62400003,77.84051
0.62500003,76.03076
0.62600003,77.84051
0.62700003,76.93411
0.62800003,77.84051
0.62900003,76.93411
0.63000003,77.84051
0.63100003,77.84051
0.63200003,77.84051
0.63300003,76.93411
0.63400003,76.93411
0.63500003,78.74691
0.63600003,76.03076
0.63700003,76.03076
0.63800003,76.93411
0.63900003,77.84051
0.64000003,76.93411
0.64100003,76.93411
0.64200003,76.93411
0.64300003,78.74691
0.64400003,77.84051
0.64500003,76.93411
0.64600003,76.93411
0.64700003,78.74691
0.64800003,76.03076
0.64900003,76.93411
0.65000003,76.93411
0.65100003,78.74691
0.65200003,76.93411
0.65300003,76.03076
0.65400003,76.03076
0.65500003,77.84051
0.65600003,78.74691
0.65700003,77.84051
0.65800003,77.84051
0.65900003,77.84051
0.66000003,77.84051
0.66100003,77.84051
0.66200003,76.93411
0.66300003,76.93411
0.66400003,76.93411
0.66500003,76.93411
0.66600003,76.93411
0.66700003,77.84051
0.66800003,76.93411
0.66900003,77.84051
0.67000003,77.84051
0.67100003,76.93411
0.67200003,76.03076
0.67300003,76.93411
0.67400003,77.84051
0.67500003,77.84051
0.67600003,76.03076
0.67700003,77.84051
0.67800003,77.84051
0.67900003,76.93411
0.68000003,76.93411
0.68100003,77.84051
0.68200003,76.93411
0.68300003,76.93411
0.68400003,77.84051
0.68500003,76.93411
0.68600003,76.93411
0.68700003,77.84051
0.68800003,77.84051
0.68900003,76.93411
0.69000003,76.93411
0.69100003,77.84051
0.69200003,76.93411
0.69300003,76.93411
0.69400003,77.84051
0.69500003,77.84051
0.69600003,76.93411
0.69700003,76.93411
0.69800003,77.84051
0.69900003,77.84051
0.70000003,77.84051
0.70100003,77.84051
0.70200003,77.84051
0.70300003,77.84051
0.70400003,77.84051
0.70500003,77.84051
0.70600003,76.93411
0.70700003,77.84051
0.70800003,76.93411
0.70900003,76.93411
0.71000003,76.93411
0.71100003,77.84051
0.71200003,77.84051
0.71300003,77.84051
0.71400003,76.93411
0.71500003,76.93411
0.71600003,77.84051
0.71700003,77.84051
0.71800003,76.93411
0.71900003,76.93411
0.72000003,76.93411
0.72100003,76.93411
0.72200003,77.84051
0.72300003,77.84051
0.72400003,76.93411
0.72500003,76.93411
0.72600003,77.84051
0.72700003,76.93411
0.72800003,76.93411
0.72900003,76.93411
0.73000003,77.84051
0.73100003,77.84051
0.73200003,77.84051
0.73300003,76.93411
0.73400003,77.84051
0.73500003,76.93411
